#timestep    time     time step  time step   maximum   -----time step location----     time step
#  number    (sec)      (sec)    cfl (sec)    error    eq_loc  i_loc  j_loc  k_loc      control
     4380  4.379E-06  1.000E-09  3.088E-08  3.869E-06       0      0      0      0   fixed timestep
     4400  4.399E-06  1.000E-09  3.089E-08  8.407E-07       0      0      0      0   fixed timestep
     4420  4.419E-06  1.000E-09  3.089E-08  9.213E-06       0      0      0      0   fixed timestep
     4440  4.439E-06  1.000E-09  3.089E-08  6.860E-07       0      0      0      0   fixed timestep
     4460  4.459E-06  1.000E-09  3.089E-08  2.396E-06       0      0      0      0   fixed timestep
     4480  4.479E-06  1.000E-09  3.089E-08  1.075E-06       0      0      0      0   fixed timestep
     4500  4.499E-06  1.000E-09  3.089E-08  1.222E-06       0      0      0      0   fixed timestep
     4520  4.519E-06  1.000E-09  3.089E-08  1.820E-06       0      0      0      0   fixed timestep
     4540  4.539E-06  1.000E-09  3.090E-08  2.465E-05       0      0      0      0   fixed timestep
     4560  4.559E-06  1.000E-09  3.090E-08  5.341E-07       0      0      0      0   fixed timestep
     4580  4.579E-06  1.000E-09  3.091E-08  6.927E-07       0      0      0      0   fixed timestep
     4600  4.599E-06  1.000E-09  3.091E-08  3.797E-06       0      0      0      0   fixed timestep
     4620  4.619E-06  1.000E-09  3.092E-08  7.590E-07       0      0      0      0   fixed timestep
     4640  4.639E-06  1.000E-09  3.092E-08  1.204E-06       0      0      0      0   fixed timestep
     4660  4.659E-06  1.000E-09  3.092E-08  5.484E-07       0      0      0      0   fixed timestep
     4680  4.679E-06  1.000E-09  3.093E-08  8.397E-07       0      0      0      0   fixed timestep
     4700  4.699E-06  1.000E-09  3.093E-08  1.509E-06       0      0      0      0   fixed timestep
     4720  4.719E-06  1.000E-09  3.093E-08  1.025E-05       0      0      0      0   fixed timestep
     4740  4.739E-06  1.000E-09  3.093E-08  3.420E-07       0      0      0      0   fixed timestep
     4760  4.759E-06  1.000E-09  3.094E-08  1.858E-06       0      0      0      0   fixed timestep
     4780  4.779E-06  1.000E-09  3.094E-08  1.022E-05       0      0      0      0   fixed timestep
     4800  4.799E-06  1.000E-09  3.094E-08  1.312E-06       0      0      0      0   fixed timestep
     4820  4.819E-06  1.000E-09  3.094E-08  3.079E-06       0      0      0      0   fixed timestep
     4840  4.839E-06  1.000E-09  3.094E-08  3.539E-07       0      0      0      0   fixed timestep
     4860  4.859E-06  1.000E-09  3.095E-08  3.175E-06       0      0      0      0   fixed timestep
     4880  4.879E-06  1.000E-09  3.095E-08  1.524E-05       0      0      0      0   fixed timestep
     4900  4.899E-06  1.000E-09  3.095E-08  3.357E-06       0      0      0      0   fixed timestep
     4920  4.919E-06  1.000E-09  3.095E-08  8.635E-07       0      0      0      0   fixed timestep
     4940  4.939E-06  1.000E-09  3.096E-08  2.403E-06       0      0      0      0   fixed timestep
     4960  4.959E-06  1.000E-09  3.096E-08  7.757E-07       0      0      0      0   fixed timestep
     4980  4.979E-06  1.000E-09  3.096E-08  5.779E-07       0      0      0      0   fixed timestep
     5000  4.999E-06  1.000E-09  3.096E-08  4.188E-06       0      0      0      0   fixed timestep
     5020  5.019E-06  1.000E-09  3.096E-08  5.439E-06       0      0      0      0   fixed timestep
     5040  5.039E-06  1.000E-09  3.097E-08  2.324E-06       0      0      0      0   fixed timestep
