# C01-i_time   C02-time     C03-u        C04-v        C05-w        C06-rho      C07-T        C08-P        C09-Mass     C10-X Mom    C11-Y Mom    C12-H2       C13-O2       C14-O        C15-OH       C16-H2O      C17-H        C18-HO2      C19-H2O2     C20-CO       C21-CO2      C22-HCO      C23-N2    
#              (sec)        (cm/s)       (cm/s)       (cm/s)       (g/cm^3)     (K)          (atm)        g/cm^3                                                                                                                                                                                          
        4700  4.700E-006  -7.634E+001   0.000E+000   0.000E+000   2.639E-004   1.041E+003   9.999E-001   2.893E+002  -7.087E-015   0.000E+000   9.346E-003   1.854E-001   2.308E-010   6.817E-011   3.467E-010   4.492E-011   3.659E-010   1.116E-013   1.948E-001   8.995E-010   2.094E-013   6.104E-001
        4800  4.800E-006  -7.746E+001   0.000E+000   0.000E+000   2.640E-004   1.042E+003   9.998E-001   2.893E+002  -7.795E-015   0.000E+000   9.346E-003   1.854E-001   2.380E-010   7.078E-011   3.667E-010   4.665E-011   3.830E-010   1.191E-013   1.948E-001   9.323E-010   2.175E-013   6.104E-001
        4900  4.900E-006  -8.076E+001   0.000E+000   0.000E+000   2.642E-004   1.042E+003   9.999E-001   2.893E+002  -1.134E-014   0.000E+000   9.346E-003   1.854E-001   2.452E-010   7.344E-011   3.875E-010   4.841E-011   4.006E-010   1.269E-013   1.948E-001   9.658E-010   2.258E-013   6.104E-001
        5000  5.000E-006  -6.099E+001   0.000E+000   0.000E+000   2.644E-004   1.043E+003   9.998E-001   2.893E+002  -6.555E-015   0.000E+000   9.346E-003   1.854E-001   2.526E-010   7.615E-011   4.090E-010   5.020E-011   4.188E-010   1.351E-013   1.948E-001   9.998E-010   2.343E-013   6.104E-001
        5100  5.100E-006  -5.091E+001   0.000E+000   0.000E+000   2.646E-004   1.044E+003   1.000E+000   2.893E+002  -7.972E-015   0.000E+000   9.346E-003   1.854E-001   2.601E-010   7.892E-011   4.313E-010   5.202E-011   4.374E-010   1.437E-013   1.948E-001   1.034E-009   2.429E-013   6.104E-001
        5200  5.200E-006  -6.857E+001   0.000E+000   0.000E+000   2.647E-004   1.044E+003   9.999E-001   2.893E+002  -4.783E-015   0.000E+000   9.346E-003   1.854E-001   2.678E-010   8.175E-011   4.543E-010   5.388E-011   4.565E-010   1.526E-013   1.948E-001   1.069E-009   2.515E-013   6.104E-001
        5300  5.300E-006  -6.986E+001   0.000E+000   0.000E+000   2.649E-004   1.045E+003   9.999E-001   2.893E+002  -7.264E-015   0.000E+000   9.346E-003   1.854E-001   2.755E-010   8.463E-011   4.780E-010   5.578E-011   4.761E-010   1.619E-013   1.948E-001   1.105E-009   2.604E-013   6.104E-001
        5400  5.400E-006  -6.967E+001   0.000E+000   0.000E+000   2.651E-004   1.046E+003   9.999E-001   2.893E+002  -6.732E-015   0.000E+000   9.346E-003   1.854E-001   2.834E-010   8.756E-011   5.026E-010   5.771E-011   4.962E-010   1.716E-013   1.948E-001   1.141E-009   2.693E-013   6.104E-001
        5500  5.500E-006  -7.429E+001   0.000E+000   0.000E+000   2.652E-004   1.046E+003   9.998E-001   2.893E+002  -7.441E-015   0.000E+000   9.346E-003   1.854E-001   2.914E-010   9.056E-011   5.279E-010   5.967E-011   5.169E-010   1.817E-013   1.948E-001   1.178E-009   2.785E-013   6.104E-001
        5600  5.600E-006  -8.889E+001   0.000E+000   0.000E+000   2.654E-004   1.047E+003   9.999E-001   2.893E+002  -8.858E-016   0.000E+000   9.346E-003   1.854E-001   2.996E-010   9.362E-011   5.541E-010   6.168E-011   5.381E-010   1.922E-013   1.948E-001   1.216E-009   2.878E-013   6.104E-001
